key,Rare disease,link,description
post-1982,ADCY5-Related Dyskinesia,https://rarediseases.org/rare-diseases/adcy5-related-dyskinesia/,N/A
post-732,Addison’s Disease,https://rarediseases.org/rare-diseases/addisons-disease/,chronic adrenocortical insufficiencyprimary adrenal insufficiencyprimary failure adrenocortical insufficiency
post-733,Adenoid Cystic Carcinoma,https://rarediseases.org/rare-diseases/adenoid-cystic-carcinoma/,ACCadenocystic carcinomacribriform carcinomacylindroma
post-734,Adenylosuccinate Lyase Deficiency,https://rarediseases.org/rare-diseases/adenylosuccinate-lyase-deficiency/,adenylosuccinase deficiencysuccinylpurinemic autismADSL deficiency
post-735,Adie Syndrome,https://rarediseases.org/rare-diseases/adie-syndrome/,Adie's PupilAdie's SyndromeAdie's Tonic PupilHolmes-Adie Syndrometonic pupil syndrome
post-1965,ADNP Syndrome,https://rarediseases.org/rare-diseases/adnp-syndrome/,"ADNP-related intellectual disability, autism-related spectrum disorderHelsmoortel-Van Der Aa syndrome (HVDAS)"
post-1341,Adult Neuronal Ceroid Lipofuscinosis,https://rarediseases.org/rare-diseases/kufs-disease/,"adult NCLANCLKufs syndromeKufs diseaseParry diseaseneuronal ceroid lipofuscinosis, adult type"
post-1591,Adult Polyglucosan Body Disease,https://rarediseases.org/rare-diseases/adult-polyglucosan-body-disease/,"APBDpolyglucosan body disease, adult form"
post-2033,Adult-Onset Leukoencephalopathy with Axonal Spheroids and Pigmented Glia,https://rarediseases.org/rare-diseases/adult-onset-leukoencephalopathy-with-axonal-spheroids-and-pigmented-glia/,"hereditary diffuse leukoencephalopathy with spheroids (HDLS)leukoencephalopathy, diffuse hereditary, with spheroidsadult-onset leukodystrophy with neuroaxonal spheroidsautosomal dominant leukoencephalopathy with neuroaxonal spheroidsneuroaxonal leukodystrophypigmentary orthochromatic leukodystrophy (POLD)CSF1R-related leukoencephalopathyALSPCSF1R-related adult-onset leukoencephalopathy with axonal spheroids and pigmented gliaCSF1R-related ALSP"
post-737,Adult-Onset Still’s Disease,https://rarediseases.org/rare-diseases/adult-onset-stills-disease/,adult Still's diseaseAOSDWissler-Fanconi syndrome
post-738,AEC Syndrome,https://rarediseases.org/rare-diseases/aec-syndrome/,ankyloblepharon-ectodermal defects-cleft lip/palateankyloblepharon-ectodermal dysplasia-cleft lip/palate syndromeHay-Wells syndromeRapp-Hodgkin syndrome
post-740,African Iron Overload,https://rarediseases.org/rare-diseases/african-iron-overload/,African siderosisBantu siderosis
post-741,Agammaglobulinemia,https://rarediseases.org/rare-diseases/agammaglobulinemia/,hypogammaglobulinemia
post-742,Agenesis of Corpus Callosum,https://rarediseases.org/rare-diseases/agenesis-of-corpus-callosum/,"ACCCorpus Callosum, Agenesis"
post-743,"Agranulocytosis, Acquired",https://rarediseases.org/rare-diseases/agranulocytosis-acquired/,"Agranulocytic AnginaGranulocytopenia, PrimaryNeutropenia, Malignant"
post-744,Ahumada-Del Castillo Syndrome,https://rarediseases.org/rare-diseases/ahumada-del-castillo-syndrome/,Amenorrhea-Galactorrhea-FSH Decrease SyndromeArgonz-Del Castillo SyndromeGalactorrhea-Amenorrhea without PregnancyNonpuerperal Galactorrhea-Amenorrhea
post-745,Aicardi Syndrome,https://rarediseases.org/rare-diseases/aicardi-syndrome/,"agenesis of corpus callosum with chorioretinitis abnormalityagenesis of corpus callosum with infantile spasms and ocular anomaliescallosal agenesis and ocular abnormalitieschorioretinal anomalies with ACCcorpus callosum, agenesis of chorioretinal abnormality"
post-111728,Aicardi-Goutières Syndrome,https://rarediseases.org/rare-diseases/aicardi-goutieres-syndrome/,AGS
post-746,AIDS Dysmorphic Syndrome,https://rarediseases.org/rare-diseases/aids-dysmorphic-syndrome/,Dysmorphic Acquired Immune Deficiency SyndromeDysmorphic AIDSFetal Acquired Immune Deficiency Syndrome (AIDS)Fetal AIDS InfectionFetal Effects of AIDSHIV EmbryopathyPerinatal AIDS
post-747,ALAD Porphyria,https://rarediseases.org/rare-diseases/alad-porphyria/,ADPALAD deficiencyALA-dehydratase deficient porphyriadelta-aminolevulinate dehydratase deficiencyDoss porphyriaporphyria of Doss
post-748,Alagille Syndrome,https://rarediseases.org/rare-diseases/alagille-syndrome/,Alagille-Watson syndromearteriohepatic dysplasiacholestasis with peripheral pulmonary stenosissyndromic bile duct paucityALGS
post-749,Alexander Disease,https://rarediseases.org/rare-diseases/alexander-disease/,dysmyelogenic leukodystrophydysmyelogenic leukodystrophy-megalobarefibrinoid degeneration of astrocytesfibrinoid leukodystrophyhyaline panneuropathyleukodystrophy with rosenthal fibersmegalencephaly with hyaline inclusionmegalencephaly with hyaline panneuropathy
post-750,Alkaptonuria,https://rarediseases.org/rare-diseases/alkaptonuria/,AKUalcaptonuria
post-751,Alopecia Areata,https://rarediseases.org/rare-diseases/alopecia-areata/,Alopecia CelsiAlopecia CicatrisataAlopecia CircumscriptaCazenave's VitiligoCelsus' VitiligoJonston's AlopeciaPorrigo DecalvansVitiligo Capitis
post-752,Alpers Disease,https://rarediseases.org/rare-diseases/alpers-disease/,Alpers Diffuse Degeneration of Cerebral Gray Matter with Hepatic CirrhosisAlpers Progressive Infantile PoliodystrophyDiffuse Cerebral Degeneration in InfancyPoliodystrophia Cerebri ProgressivaProgressive Cerebral Poliodystrophy
post-1902,Alpha Thalassemia,https://rarediseases.org/rare-diseases/alpha-thalassemia/,N/A
post-753,Alpha Thalassemia X-linked Intellectual Disability Syndrome,https://rarediseases.org/rare-diseases/alpha-thalassemia-x-linked-intellectual-disability-syndrome/,ATR-X syndromeCarpenter-Waziri syndromecerebrofaciogenital syndromeChudley-Lowry syndromeHolmes-Gang syndromeXLID-hypotonic face syndromeX-linked intellectual disability - arch fingerprints- hypotonia syndrome
post-754,Alpha-1 Antitrypsin Deficiency,https://rarediseases.org/rare-diseases/alpha-1-antitrypsin-deficiency/,A1ADAATDgenetic emphysema
post-755,Alpha-Mannosidosis,https://rarediseases.org/rare-diseases/alpha-mannosidosis/,"alpha-mannosidase B deficiencylysosomal alpha-D-mannosidase deficiencymannosidase, alpha B, lysosomalmannosidosismannosidosis, alpha B, lysosomal"
post-756,Alport Syndrome,https://rarediseases.org/rare-diseases/alport-syndrome/,hematuria-nephropathy deafness (former)hemorrhagic familial nephritis (former)hereditary deafness and nephropathy (former)hereditary nephritis (former)hereditary nephritis with sensory deafness (former)
post-757,Alström Syndrome,https://rarediseases.org/rare-diseases/alstrom-syndrome/,ALMSAlstrom-Halgren Syndrome
post-758,Alternating Hemiplegia of Childhood,https://rarediseases.org/rare-diseases/alternating-hemiplegia-of-childhood/,AHCalternating hemiplegia syndrome
post-759,Alveolar Capillary Dysplasia with Misalignment of Pulmonary Veins,https://rarediseases.org/rare-diseases/alveolar-capillary-dysplasia/,ACDMPValveolar capillary dysplasia
post-760,Alveolar Soft Part Sarcoma,https://rarediseases.org/rare-diseases/alveolar-soft-part-sarcoma/,Alveolar sarcoma of soft partsAlveolar soft-tissue sarcomaASPSASP sarcoma
post-763,Ameloblastic Carcinoma,https://rarediseases.org/rare-diseases/ameloblastic-carcinoma/,No synonyms found
post-764,Ameloblastoma,https://rarediseases.org/rare-diseases/ameloblastoma/,AdamantinomaMandibular AmeloblastomaMaxillary AmeloblastomaOdontogenic Tumor
post-765,Amelogenesis Imperfecta,https://rarediseases.org/rare-diseases/amelogenesis-imperfecta/,AI
post-766,Amniotic Band Syndrome,https://rarediseases.org/rare-diseases/amniotic-band-syndrome/,"ABSamnion rupture sequenceamniotic bandsamniotic band sequenceamniotic deformity, adhesions, mutilations (ADAM) complexcongenital constriction ringsconstriction band syndromelimb body wall complexStreeter anomalyStreeter bandsStreeter dysplasia"
post-1985,Amniotic Fluid Embolism,https://rarediseases.org/rare-diseases/amniotic-fluid-embolism/,anaphylactoid syndrome of pregnancyAFE
post-767,Amyloidosis,https://rarediseases.org/rare-diseases/amyloidosis/,N/A
post-768,Amyotrophic Lateral Sclerosis,https://rarediseases.org/rare-diseases/amyotrophic-lateral-sclerosis/,ALSLou Gehrig's Disease
post-769,Anaplastic Astrocytoma,https://rarediseases.org/rare-diseases/anaplastic-astrocytoma/,"astrocytoma, grade IIImalignant astrocytoma, grade III"
post-770,Andersen Disease (GSD IV),https://rarediseases.org/rare-diseases/andersen-disease-gsd-iv/,amylopectinosisAndersen glycogenosisbrancher deficiencybranching enzyme deficiencyglycogenosis type IVglycogen storage disease IV
post-1883,Andersen-Tawil Syndrome,https://rarediseases.org/rare-diseases/andersen-tawil-syndrome/,Andersen syndromeATSlong QT syndrome 7LQTS7
post-772,Anemia of Chronic Disease,https://rarediseases.org/rare-diseases/anemia-of-chronic-disease/,anemia of chronic inflammationanemia of inflammation
post-774,"Anemia, Hemolytic, Acquired Autoimmune",https://rarediseases.org/rare-diseases/anemia-hemolytic-acquired-autoimmune/,"Anemia, Idiopathic Autoimmune HemolyticAutoimmune Hemolytic AnemiaIdiopathic Autoimmune Hemolytic AnemiaImmune Hemolytic Anemia"
post-779,"Anemia, Pernicious",https://rarediseases.org/rare-diseases/anemia-pernicious/,Addison-Biermer AnemiaAddisonian Pernicious AnemiaAddison's AnemiaPrimary Anemia
post-781,Anencephaly,https://rarediseases.org/rare-diseases/anencephaly/,N/A
post-782,Angelman Syndrome,https://rarediseases.org/rare-diseases/angelman-syndrome/,AShappy puppet syndrome (obsolete)
post-784,Angioimmunoblastic T-Cell Lymphoma,https://rarediseases.org/rare-diseases/angioimmunoblastic-t-cell-lymphoma/,AILDAITLangioimmunoblastic lymphadenopathy with dysproteinemiaimmunoblastic lymphadenopathylymphogranulomatosis X
post-786,Aniridia Cerebellar Ataxia Mental Deficiency,https://rarediseases.org/rare-diseases/aniridia-cerebellar-ataxia-mental-deficiency/,"Aniridia-Cerebellar Ataxia-Mental RetardationAniridia, Partial-Cerebellar Ataxia-Mental RetardationAniridia, Partial-Cerebellar Ataxia-OligophreniaGillespie Syndrome"
post-789,Anthrax,https://rarediseases.org/rare-diseases/anthrax/,Black BaineMalignant EdemaMalignant PustuleRagpicker DiseaseSiberian PlagueWoolsorter's disease
post-790,Antiphospholipid Syndrome,https://rarediseases.org/rare-diseases/antiphospholipid-syndrome/,antiphospholipid antibody syndromeAPSAPLSHughes syndromelupus anticoagulant syndrome
post-1926,Antisynthetase Syndrome,https://rarediseases.org/rare-diseases/antisynthetase-syndrome/,anti-synthetase syndromeAS syndromeASSD
post-791,Antithrombin Deficiency,https://rarediseases.org/rare-diseases/antithrombin-deficiency/,"AT 3AT III deficiencythrombophilia, hereditary, due to AT III"
post-792,Antley-Bixler Syndrome,https://rarediseases.org/rare-diseases/antley-bixler-syndrome/,"ABScraniosynostosis, choanal atresia, radial humeral synostosistrapezoidocephaly-multiple synostosis syndrome"
post-1992,AP-4-Associated Hereditary Spastic Paraplegia (AP-4-HSP),https://rarediseases.org/rare-diseases/ap-4-associated-hereditary-spastic-paraplegia/,AP-4 deficiency syndromeAdaptor protein complex 4 (AP-4) deficiency
post-793,Apert Syndrome,https://rarediseases.org/rare-diseases/apert-syndrome/,"acrocephalosyndactyly, type IACS1"
post-794,Aplasia Cutis Congenita,https://rarediseases.org/rare-diseases/aplasia-cutis-congenita/,ACCCongenital Defect of the Skull and ScalpCongenital ulcer of the newbornScalp Defect Congenital
post-795,"Apnea, Infantile",https://rarediseases.org/rare-diseases/apnea-infantile/,Infantile Sleep Apnea
post-1930,Appendiceal Cancer and Tumors,https://rarediseases.org/rare-diseases/appendiceal-cancer-tumors/,low grade mucinous neoplasm of the appendix (LAMN)high grade mucinous neoplasms of the appendix (HAMN)mucinous adenocarcinoma of the appendixadenocarcinoma of the appendixsignet ring cell cancer of the appendixgoblet cell carcinoidcystadenocarcinomanonmucinous adenocarcinomacolonic type adenocarcinoma
post-797,Apraxia,https://rarediseases.org/rare-diseases/apraxia/,N/A
post-799,Arachnoid Cysts,https://rarediseases.org/rare-diseases/arachnoid-cysts/,"cysts, arachnoid"
post-801,Arginase-1 Deficiency,https://rarediseases.org/rare-diseases/arginase-deficiency/,hyperargininemiaarginase deficiency
post-907,Arginine Vasopressin Deficiency,https://rarediseases.org/rare-diseases/central-diabetes-insipidus/,AVP-Dcentral diabetes insipidusneurogenic diabetes insipidusneurohypophyses diabetes insipidusvasopressin-sensitive diabetes insipidus
post-1968,Arginine: Glycine Amidinotransferase Deficiency,https://rarediseases.org/rare-diseases/argininie-glycine-amidinotransferase-deficiency/,AGAT deficiencyGATM deficiency
post-802,Argininosuccinic Aciduria,https://rarediseases.org/rare-diseases/argininosuccinic-aciduria/,arginino succinase deficiencyargininosuccinate lyase deficiencyargininosuccinate acid lyase deficiencyASAASL deficiency
post-2010,Aromatic L-Amino Acid Decarboxylase Deficiency,https://rarediseases.org/rare-diseases/aromatic-l-amino-acid-decarboxylase-deficiency/,aromatic amino acid decarboxylase deficiencyAADC deficiencyAADCDDOPA decarboxylase deficiencyDDC deficiency
post-803,Arterial Tortuosity Syndrome,https://rarediseases.org/rare-diseases/arterial-tortuosity-syndrome/,ATS
post-804,Arteriovenous Malformation,https://rarediseases.org/rare-diseases/arteriovenous-malformation/,AVM
post-806,"Arteritis, Takayasu",https://rarediseases.org/rare-diseases/arteritis-takayasu/,Aorta Arch SyndromeBrachiocephalic IschemiaIdiopathic Arteritis of TakayasuMartorell SyndromeOcclusive ThromboaortopathyPulseless DiseaseReverse CoarctionTakayasu DiseaseYoung Female Arteritis
post-807,"Arthritis, Infectious",https://rarediseases.org/rare-diseases/arthritis-infectious/,Bacterial ArthritisPurulent ArthritisPyarthrosisPyogenic ArthritisSeptic ArthritisSuppurative Arthritis
post-810,Arthrogryposis Multiplex Congenita,https://rarediseases.org/rare-diseases/arthrogryposis-multiplex-congenita/,AMCarthrogryposis
post-259193,Arthrogryposis Renal Dysfunction Cholestasis Syndrome,https://rarediseases.org/rare-diseases/arthrogryposis-renal-dysfunction-cholestasis-syndrome/,ARC
post-1133,ASAH1-Related Disorders,https://rarediseases.org/rare-diseases/farbers-disease/,acid ceramidase deficiencyFarber diseaseFarber lipogranulomatosis
post-811,Asherman’s Syndrome,https://rarediseases.org/rare-diseases/ashermans-syndrome/,intrauterine synechiaeuterine synechiaeintrauterine adhesions (IUA)
post-812,Asherson’s Syndrome,https://rarediseases.org/rare-diseases/ashersons-syndrome/,Catastrophic Antiphospholipid Syndrome
post-813,Aspartylglycosaminuria,https://rarediseases.org/rare-diseases/aspartylglycosaminuria/,AGAAGUAspartylglucosaminidase DeficiencyGlycosylasparaginase Deficiency
post-814,Aspergillosis,https://rarediseases.org/rare-diseases/aspergillosis/,N/A
post-1074,Asphyxiating Thoracic Dystrophy,https://rarediseases.org/rare-diseases/dystrophy-asphyxiating-thoracic/,asphyxiating thoracic dysplasiaATDJeune syndromethoracic-pelvic-phalangeal dystrophyasphyxiating thoracic chondrodystrophychondroectodermal dysplasia-like syndromeinfantile thoracic dystrophyJeune thoracic dystrophy
post-815,Astrocytoma,https://rarediseases.org/rare-diseases/astrocytoma/,N/A
post-139551,ASXL3-Related Disorder,https://rarediseases.org/rare-diseases/asxl3-related-disorder/,Bainbridge-Ropers syndromeASXL3 syndrome
post-816,Ataxia Telangiectasia,https://rarediseases.org/rare-diseases/ataxia-telangiectasia/,ATcerebello-oculocutaneous telangiectasiaimmunodeficiency with ataxia telangiectasiaLouis-Bar Syndrome
post-817,Ataxia with Vitamin E Deficiency,https://rarediseases.org/rare-diseases/ataxia-with-vitamin-e-deficiency/,AVEDFamilial Isolated Vitamin E DeficiencyIsolated Vitamin E DeficiencyFriedreich-like ataxia with vitamin E deficiencyFriedreich-like ataxia
post-1879,ATR-16 Syndrome,https://rarediseases.org/rare-diseases/atr-16-syndrome/,"alpha-thalassemia-intellectual disability syndrome, chromosome 16-relatedalpha-thalassemia-intellectual disability syndrome, deletion type"
post-819,Atransferrinemia,https://rarediseases.org/rare-diseases/atransferrinemia/,congenital atransferrinemiahereditary atransferrinemiahypotransferrinemia
post-820,Atrial Septal Defects,https://rarediseases.org/rare-diseases/atrial-septal-defects/,ASDAtrioseptal Defects
post-821,Atrioventricular Septal Defect,https://rarediseases.org/rare-diseases/atrioventricular-septal-defect/,Atrioventricular Canal DefectsAVSDCommon Atrioventricular Canal (CAVC) DefectEndocardial Cushion Defects
post-822,Atypical Hemolytic Uremic Syndrome,https://rarediseases.org/rare-diseases/atypical-hemolytic-uremic-syndrome/,aHUSfamilial hemolytic-uremic syndromehereditary hemolytic-uremic syndrome
post-2025,Auditory Neuropathy Spectrum Disorder,https://rarediseases.org/rare-diseases/auditory-neuropathy-spectrum-disorder/,auditory de-synchronyauditory neuropathy (AN)auditory dyssynchronyANSDauditory mismatch
post-823,Autoimmune Blistering Diseases,https://rarediseases.org/rare-diseases/autoimmune-blistering-diseases/,autoimmune bullous disorders
post-1897,Autoimmune Hepatitis,https://rarediseases.org/rare-diseases/autoimmune-hepatitis/,AIHautoimmune chronic active hepatitislupoid hepatitis
post-824,Autoimmune Polyendocrine Syndrome Type II,https://rarediseases.org/rare-diseases/autoimmune-polyendocrine-syndrome-type-ii/,"Diabetes Mellitus, Addison's Disease, MyxedemaMultiple Endocrine Deficiency Syndrome, Type IIPGA IIPolyglandular Autoimmune Syndrome, Type IIPolyglandular Deficiency Syndrome, Type IISchmidt Syndrome"
post-798,Autoimmune Polyglandular Syndrome Type 1,https://rarediseases.org/rare-diseases/autoimmune-polyglandular-syndrome-type-1/,APS-1APS type 1autoimmune-polyendocrine-candidiasis-ectodermal dystrophy syndromeautoimmune polyendocrinopathy type 1 (APECED)polyglandular autoimmune (PGA) syndrome type 1
post-1939,Autoinflammation with Infantile Enterocolitis,https://rarediseases.org/rare-diseases/autoinflammation-infantile-enterocolitis/,AIFEC
post-825,Autosomal Dominant Hereditary Ataxia,https://rarediseases.org/rare-diseases/autosomal-dominant-hereditary-ataxia/,episodic ataxiaspinocerebellar ataxia
post-826,Autosomal Dominant Hyper IgE Syndrome,https://rarediseases.org/rare-diseases/autosomal-dominant-hyper-ige-syndrome/,"AD-HIESHIESHIE syndromehyperimmunoglobulin E recurrent infection syndromeJob syndrome, autosomal dominant"
post-828,Autosomal Dominant Polycystic Kidney Disease,https://rarediseases.org/rare-diseases/autosomal-dominant-polycystic-kidney-disease/,ADPKD
post-829,Autosomal Dominant Porencephaly Type I,https://rarediseases.org/rare-diseases/autosomal-dominant-porencephaly-type-i/,N/A
post-827,Autosomal Dominant Tubulo-Interstitial Kidney Disease,https://rarediseases.org/rare-diseases/autosomal-dominant-interstitial-kidney-disease/,uromodulin kidney disease (UKD)mucin-1 kidney disease (MKD)familial juvenile hyperuricemic nephropathymedullary cystic kidney diseaserenin associated kidney diseaseuromodulin associated kidney diseasemedullary cystic kidney disease type 1medullary cystic kidney disease type 2ADTKD
post-830,Autosomal Recessive Hyper IgE Syndrome,https://rarediseases.org/rare-diseases/autosomal-recessive-hyper-ige-syndrome/,"AR-HIESHIESHIE syndromehyperimmunoglobulin E recurrent infection syndromeJob syndrome, autosomal recessive"
post-2000,Autosomal Recessive Hypophosphatemic Rickets Type 2,https://rarediseases.org/rare-diseases/autosomal-recessive-hypophosphatemic-rickets-type-2/,ARHR2ENPP1 deficiency
post-831,Autosomal Recessive Polycystic Kidney Disease,https://rarediseases.org/rare-diseases/autosomal-recessive-polycystic-kidney-disease/,"ARPKDpolycystic kidney disease, infantile"
post-1670,Axenfeld-Rieger Syndrome,https://rarediseases.org/rare-diseases/rieger-syndrome/,Rieger syndromeiridogoniodysgenesis with somatic anomaliesRieger anomalyAxenfeld syndromeAxenfeld anomaly
post-832,Babesiosis,https://rarediseases.org/rare-diseases/babesiosis/,PiriplasmosisRedwater Fever
post-109383,Bachmann-Bupp Syndrome,https://rarediseases.org/rare-diseases/bachmann-bupp-syndrome/,ODC1 gain-of-function-related neurodevelopmental disorderneurodevelopmental disorder with alopecia and brain abnormalities; NEDABABABS
post-833,Balantidiasis,https://rarediseases.org/rare-diseases/balantidiasis/,BalantidiosisBalantidosisCiliary Dysentery
post-835,Balo Disease,https://rarediseases.org/rare-diseases/balo-disease/,Concentric SclerosisEncephalitis Periaxialis ConcentricaLeukoencephalitis Periaxialis Concentric
post-1684,Bannayan-Riley-Ruvalcaba Syndrome,https://rarediseases.org/rare-diseases/ruvalcaba-syndrome/,BRRSRiley-Smith syndromeBannayan-Zonana syndromeRuvalcaba-Myhre-Smith syndrome
post-836,Banti’s Syndrome,https://rarediseases.org/rare-diseases/bantis-syndrome/,Banti's DiseaseHypersplenismIdiopathic congestive splenomegalyIdiopathic portal hypertension
post-837,Barakat Syndrome,https://rarediseases.org/rare-diseases/barakat-syndrome/,"HDR syndromehypoparathyroidism, sensorineural deafness and renal dysplasia (or disease)"
post-838,Bardet-Biedl Syndrome,https://rarediseases.org/rare-diseases/bardet-biedl-syndrome/,BBS
post-840,Barth Syndrome,https://rarediseases.org/rare-diseases/barth-syndrome/,"X linked endocardial fibroelastosis (EFE)X linked cardioskeletal myopathy and neutropenia3-methylglutaconic aciduria, Type II (MGA, Type II)cardioskeletal myopathy, Barth typecardioskeletal myopathy with neutropenia and abnormal mitochondriaendocardial fibroelastosis, type 2 (EFE2)"
post-841,Bartonellosis,https://rarediseases.org/rare-diseases/bartonellosis/,N/A
post-842,Bartter Syndrome,https://rarediseases.org/rare-diseases/bartters-syndrome/,salt-losing tubulopathy with secondary hyperaldosteronism
post-845,Beckwith-Wiedemann Syndrome,https://rarediseases.org/rare-diseases/beckwith-wiedemann-syndrome/,Beckwith-SyndromeBeckwith-Wiedemann spectrumBWSEMG syndromeexomphalos-macroglossia-gigantism syndromehypoglycemia with macroglossiaomphalocele-visceromegaly-macroglossia syndromevisceromegaly-umbilical hernia-macroglossia syndromeWiedemann-Beckwith syndrome
